"kd490.Winter" "PAR.Summer2" "kd490.Spring" "PAR.Winter2" "SalinityAVG2" "SST.month.Winter" "SST.August" "ChlA.Winter" "ChlA.Spring"
"EB13MA4" 0.896146865448082 47.9956993276 1.29656065056098 8.38520614811861 23.69290161 8.007155168 13.81256407 3.433357 13.74027807
"EB18MD3" 0.896146865448082 47.9956993276 1.29656065056098 8.38520614811861 23.69290161 8.007155168 13.81256407 3.433357 13.74027807
"EB19MA2" 0.896146865448082 47.9956993276 1.29656065056098 8.38520614811861 23.69290161 8.007155168 13.81256407 3.433357 13.74027807
"ED24MD6" 1.46458600600751 48.1188019743919 1.71409763362828 8.35231944126301 26.00195122 7.856724122 13.80717945 7.276774883 50.21787252
"ED26MD4" 1.46458600600751 48.1188019743919 1.71409763362828 8.35231944126301 26.00195122 7.856724122 13.80717945 7.276774883 50.21787252
"ED37MC4" 1.46458600600751 48.1188019743919 1.71409763362828 8.35231944126301 26.00195122 7.856724122 13.80717945 7.276774883 50.21787252
"ED38MD6" 1.46458600600751 48.1188019743919 1.71409763362828 8.35231944126301 26.00195122 7.856724122 13.80717945 7.276774883 50.21787252
"FB10MD6" 1.2627884030535 46.5992019827724 1.79223914797806 8.42828714963347 28.74591637 7.82620689 13.31128199 8.103269729 24.82510395
"FB13MD3" 1.2627884030535 46.5992019827724 1.79223914797806 8.42828714963347 28.74591637 7.82620689 13.31128199 8.103269729 24.82510395
"FB20MD4" 1.2627884030535 46.5992019827724 1.79223914797806 8.42828714963347 28.74591637 7.82620689 13.31128199 8.103269729 24.82510395
"FWB7M" 0.208353216716799 48.3816926547557 0.543639120286955 8.60927747776098 31.4 7.91336208 11.53999999 30.32903851 4.805776708
"HI17MA2" 2.11954057576205 47.2684705372095 2.08606095832307 7.86471576517298 24.48382568 7.763706898 13.70333329 8.086036325 14.12706269
"HI24MB4" 2.11954057576205 47.2684705372095 2.08606095832307 7.86471576517298 24.48382568 7.763706898 13.70333329 8.086036325 14.12706269
"JT02MB3" 0.182675303512586 47.5819021925115 0.410574006294091 9.08204149721445 30.7 7.871379314 11.82051275 7.091409487 6.767130444
"JT05MA5" 0.182675303512586 47.5819021925115 0.410574006294091 9.08204149721445 30.7 7.871379314 11.82051275 7.091409487 6.767130444
"KR01MA4" 0.829786616525777 46.1893437686372 1.76546123423025 8.44164381474346 29.6140976 7.814568943 13.0792308 12.13246918 25.53275448
"KR13MA2" 0.829786616525777 46.1893437686372 1.76546123423025 8.44164381474346 29.6140976 7.814568943 13.0792308 12.13246918 25.53275448
"KR15MB2" 0.829786616525777 46.1893437686372 1.76546123423025 8.44164381474346 29.6140976 7.814568943 13.0792308 12.13246918 25.53275448
"LP54MB6" 1.19034184501378 48.0863599317837 1.76500923507736 8.4756188100156 28.13049507 8.095517282 13.82230768 3.366661799 14.36078801
"LP65MD6" 1.19034184501378 48.0863599317837 1.76500923507736 8.4756188100156 28.13049507 8.095517282 13.82230768 3.366661799 14.36078801
"LP67MD2" 1.19034184501378 48.0863599317837 1.76500923507736 8.4756188100156 28.13049507 8.095517282 13.82230768 3.366661799 14.36078801
"LP68MD3" 1.19034184501378 48.0863599317837 1.76500923507736 8.4756188100156 28.13049507 8.095517282 13.82230768 3.366661799 14.36078801
"LP69MB1" 1.19034184501378 48.0863599317837 1.76500923507736 8.4756188100156 28.13049507 8.095517282 13.82230768 3.366661799 14.36078801
"MC17MA3" 0.270504315656823 48.4853323019743 1.44940423527535 8.87586756995506 31 7.888965512 11.63487175 3.535239538 16.14427118
"MC23MC1" 0.270504315656823 48.4853323019743 1.44940423527535 8.87586756995506 31 7.888965512 11.63487175 3.535239538 16.14427118
"PP02MC6" 2.02452716731718 47.2725415368974 2.24194086866619 7.9075804661864 25.70510292 7.726120706 13.55076922 16.76353077 17.21495585
"PP04MB6" 2.02452716731718 47.2725415368974 2.24194086866619 7.9075804661864 25.70510292 7.726120706 13.55076922 16.76353077 17.21495585
"PP09MD2" 2.02452716731718 47.2725415368974 2.24194086866619 7.9075804661864 25.70510292 7.726120706 13.55076922 16.76353077 17.21495585
"PT05MD2" 0.628527539281593 45.8374366573005 1.41006641687571 8.4035963107118 30.5111599 7.814827574 12.67025635 4.466099548 28.58845515
"PT13MD6" 0.628527539281593 45.8374366573005 1.41006641687571 8.4035963107118 30.5111599 7.814827574 12.67025635 4.466099548 28.58845515
"PT16MA6" 0.628527539281593 45.8374366573005 1.41006641687571 8.4035963107118 30.5111599 7.814827574 12.67025635 4.466099548 28.58845515
"PV72MA4" 1.0969046147664 47.9726356190563 1.77160212919579 8.55553321243525 28.28356743 8.088534499 13.82358974 14.03600883 7.002654552
"PV83MC6" 1.0969046147664 47.9726356190563 1.77160212919579 8.55553321243525 28.28356743 8.088534499 13.82358974 14.03600883 7.002654552
"PV88MD5" 1.0969046147664 47.9726356190563 1.77160212919579 8.55553321243525 28.28356743 8.088534499 13.82358974 14.03600883 7.002654552
"PV89MC4" 1.0969046147664 47.9726356190563 1.77160212919579 8.55553321243525 28.28356743 8.088534499 13.82358974 14.03600883 7.002654552
"SB01MD2" 3.17882501314364 48.6643200892901 1.90160908055993 8.64220266106456 29.6773262 8.229655159 13.98589736 32.94053186 4.617401044
"SB13MA2" 3.17882501314364 48.6643200892901 1.90160908055993 8.64220266106456 29.6773262 8.229655159 13.98589736 32.94053186 4.617401044
"SB14MC4" 3.17882501314364 48.6643200892901 1.90160908055993 8.64220266106456 29.6773262 8.229655159 13.98589736 32.94053186 4.617401044
"SH04MD6" 1.62950151907325 47.6806115799093 1.74282802873219 8.29593703857004 27.27124786 7.80534482 13.59307697 26.22986692 13.17908061
"SH05MD2" 1.62950151907325 47.6806115799093 1.74282802873219 8.29593703857004 27.27124786 7.80534482 13.59307697 26.22986692 13.17908061
"SH11MD4" 1.62950151907325 47.6806115799093 1.74282802873219 8.29593703857004 27.27124786 7.80534482 13.59307697 26.22986692 13.17908061
"SH12MD2" 1.62950151907325 47.6806115799093 1.74282802873219 8.29593703857004 27.27124786 7.80534482 13.59307697 26.22986692 13.17908061
"SH18MD4" 1.62950151907325 47.6806115799093 1.74282802873219 8.29593703857004 27.27124786 7.80534482 13.59307697 26.22986692 13.17908061
"SM44MA1" 1.1156038718015 48.1524243840981 1.39483262169383 8.40512698355436 25.40902138 7.962327575 13.81102562 4.938592255 28.54000232
"SM46MA4" 1.1156038718015 48.1524243840981 1.39483262169383 8.40512698355436 25.40902138 7.962327575 13.81102562 4.938592255 28.54000232
"SM47MC1" 1.1156038718015 48.1524243840981 1.39483262169383 8.40512698355436 25.40902138 7.962327575 13.81102562 4.938592255 28.54000232
"SM48MC5" 1.1156038718015 48.1524243840981 1.39483262169383 8.40512698355436 25.40902138 7.962327575 13.81102562 4.938592255 28.54000232
"SM50MB5" 1.1156038718015 48.1524243840981 1.39483262169383 8.40512698355436 25.40902138 7.962327575 13.81102562 4.938592255 28.54000232
"SQX15MB2" 4.01572372562136 47.7171392859292 2.4699000120163 8.59657756398276 27.99258041 9.143077074 15.92017259 6.711922228 9.534515366
"SQX17MA2" 4.01572372562136 47.7171392859292 2.4699000120163 8.59657756398276 27.99258041 9.143077074 15.92017259 6.711922228 9.534515366
